Game,Date/Season,Winning team,Winning Zip,Winning County,Winning State,Winning County Code,Score,Losing team,Losing Zip,Losing County,Losing State,Losing County Code,Venue,Venue City,Attendance,Ref
XXXVI,"February 3, 2002 (2001)",New England PatriotsA,2201,SUFFOLK,MASSACHUSETTS,25025,20–17,St. Louis RamsN,63101,Saint Louis City,Missouri,29510,Louisiana Superdome (6)[sb 6],"New Orleans, Louisiana (9)","72,922",[53][13]
XXXVII,"January 26, 2003 (2002)",Tampa Bay BuccaneersN,33602,HILLSBOROUGH,FLORIDA,12057,48–21,Oakland RaidersA,94612,ALAMEDA,CALIFORNIA,6001,Qualcomm Stadium (3)[sb 11],"San Diego, California (3)","67,603",[54][13]
XXXVIII,"February 1, 2004 (2003)",New England PatriotsA,2201,SUFFOLK,MASSACHUSETTS,25025,32–29,Carolina PanthersN,28202,MECKLENBURG,NORTH CAROLINA,37119,Reliant Stadium[sb 14],"Houston, Texas (2)","71,525",[55][13]
XXXIX,"February 6, 2005 (2004)",New England PatriotsA,2201,SUFFOLK,MASSACHUSETTS,25025,24–21,Philadelphia EaglesN,19102,PHILADELPHIA,PENNSYLVANIA,42101,Alltel Stadium,"Jacksonville, Florida","78,125",[56][13]
XL,"February 5, 2006 (2005)",Pittsburgh SteelersA,15222,ALLEGHENY,PENNSYLVANIA,42003,21–10,Seattle SeahawksN,98101,KING,WASHINGTON,53033,Ford Field,"Detroit, Michigan (2)[sb 8]","68,206",[57][13]
XLI,"February 4, 2007 (2006)",Indianapolis ColtsA,46202,MARION,INDIANA,18097,29–17,Chicago BearsN,60605,COOK,ILLINOIS,17031,Dolphin Stadium (4)[sb 12],"Miami Gardens, Florida (9)[sb 3]","74,512",[58][13]
XLII,"February 3, 2008 (2007)",New York GiantsN,10002,NEW YORK,NEW YORK,36061,17–14,New England PatriotsA,2201,SUFFOLK,MASSACHUSETTS,25025,University of Phoenix Stadium[sb 15],"Glendale, Arizona (2)[sb 13]","71,101",[59][13]
XLIII,"February 1, 2009 (2008)",Pittsburgh SteelersA,15222,ALLEGHENY,PENNSYLVANIA,42003,27–23,Arizona CardinalsN,85003,MARICOPA,ARIZONA,4013,Raymond James Stadium (2),"Tampa, Florida (4)","70,774",[60][13]
XLIV,"February 7, 2010 (2009)",New Orleans SaintsN,70195,ORLEANS,LOUISIANA,22071,31–17,Indianapolis ColtsA,46202,MARION,INDIANA,18097,Sun Life Stadium (5)[sb 12],"Miami Gardens, Florida (10)[sb 3]","74,059",[61][13]
XLV,"February 6, 2011 (2010)",Green Bay PackersN,54311,BROWN,WISCONSIN,55009,31–25,Pittsburgh SteelersA,15222,ALLEGHENY,PENNSYLVANIA,42003,Cowboys Stadium,"Arlington, Texas","103,219",[62][63][13]
XLVI,"February 5, 2012 (2011)",New York GiantsN,10002,NEW YORK,NEW YORK,36061,21–17,New England PatriotsA,2201,SUFFOLK,MASSACHUSETTS,25025,Lucas Oil Stadium,"Indianapolis, Indiana","68,658",[64][13][65][66]
XLVII,"February 3, 2013 (2012)",Baltimore RavensA,21201,Baltimore City,MARYLAND,24510,34–31,San Francisco 49ersN,94108,SAN FRANCISCO,CALIFORNIA,6075,Mercedes-Benz Superdome (7)[sb 6],"New Orleans, Louisiana (10)","71,024",[67][13][65][68]
XLVIII,"February 2, 2014 (2013)",Seattle SeahawksN,98101,KING,WASHINGTON,53033,43–8,Denver BroncosA,80220,DENVER,COLORADO,8031,MetLife Stadium,"East Rutherford, New Jersey","82,529",[69][13][70]
XLIX,"February 1, 2015 (2014)",New England PatriotsA,2201,SUFFOLK,MASSACHUSETTS,25025,28–24,Seattle SeahawksN,98101,KING,WASHINGTON,53033,University of Phoenix Stadium (2)[sb 15],"Glendale, Arizona (3)[sb 13]","70,288",[71][13][72][73]
50,"February 7, 2016 (2015)",Denver BroncosA,80220,DENVER,COLORADO,8031,24–10,Carolina PanthersN,28202,MECKLENBURG,NORTH CAROLINA,37119,Levi's Stadium,"Santa Clara, California (2)[sb 10]","71,088",[74][73][75][76]
LI,"February 5, 2017 (2016)",New England PatriotsA,2201,SUFFOLK,MASSACHUSETTS,25025,34–28 (OT),Atlanta FalconsN,30303,FULTON,GEORGIA,13121,NRG Stadium (2)[sb 14],"Houston, Texas (3)","70,807",[77][73][75][76]
LII,"February 4, 2018 (2017)",Philadelphia EaglesN,19102,PHILADELPHIA,PENNSYLVANIA,42101,41–33,New England PatriotsA,2201,SUFFOLK,MASSACHUSETTS,25025,U.S. Bank Stadium,"Minneapolis, Minnesota (2)","67,612",[78][79][80][81][82]
LIII,"February 3, 2019 (2018)",New England PatriotsA,2201,SUFFOLK,MASSACHUSETTS,25025,13–3 ,Los Angeles RamsN,90013,LOS ANGELES,CALIFORNIA,6037,Mercedes-Benz Stadium,"Atlanta, Georgia (3)","70,081",[83][84][85]
LIV,"February 2, 2020 (2019)",Kansas City ChiefsA,64101,JACKSON,MISSOURI,29095,31–20 ,San Francisco 49ersN,94108,SAN FRANCISCO,CALIFORNIA,6075,Hard Rock Stadium (6)[sb 12],"Miami Gardens, Florida (11)[sb 3]","62,417",[84][85]